"user","user_id"
"nntaleb","x1076128371778748422"
"nntaleb","x2832261790"
"nntaleb","x908703686729269249"
"nntaleb","x18658924"
"nntaleb","x1059768192862584832"
"nntaleb","x13350"
"nntaleb","x1013028417418268672"
"nntaleb","x770142872343633924"
"nntaleb","x1318688696"
"nntaleb","x966732224207998983"
"nntaleb","x37450324"
"nntaleb","x786749742927769600"
"nntaleb","x718494710558507008"
"nntaleb","x1066547928"
"nntaleb","x780557598089109504"
"nntaleb","x298962119"
"nntaleb","x1080151136529801221"
"nntaleb","x952364011"
"nntaleb","x3294634335"
"nntaleb","x16248719"
"nntaleb","x97901597"
"nntaleb","x370879693"
"nntaleb","x18204430"
"nntaleb","x3377501883"
"nntaleb","x996923362386546694"
"nntaleb","x867228780"
"nntaleb","x4361660242"
"nntaleb","x38271276"
"nntaleb","x586725000"
"nntaleb","x2463810206"
"nntaleb","x999470034"
"nntaleb","x719024310468280320"
"nntaleb","x1072840499030052865"
"nntaleb","x962763488778211329"
"nntaleb","x20245047"
"nntaleb","x21764525"
"nntaleb","x4391857633"
"nntaleb","x799314541108719616"
"nntaleb","x20995027"
"nntaleb","x1059837918955610113"
"nntaleb","x954978709513080832"
"nntaleb","x779335140124323840"
"nntaleb","x3170789214"
"nntaleb","x23188724"
"nntaleb","x14504859"
"nntaleb","x2651098867"
"nntaleb","x359188534"
"nntaleb","x555239997"
"nntaleb","x1029006898002046976"
"nntaleb","x30839281"
"nntaleb","x77437422"
"nntaleb","x89717709"
"nntaleb","x2451979687"
"nntaleb","x131991214"
"nntaleb","x618465476"
"nntaleb","x115516504"
"nntaleb","x2530947115"
"nntaleb","x128372940"
"nntaleb","x573301170"
"nntaleb","x827723382"
"nntaleb","x426457443"
"nntaleb","x122702978"
"nntaleb","x17407207"
"nntaleb","x14184699"
"nntaleb","x47646735"
"nntaleb","x1039175401367425024"
"nntaleb","x4052598077"
"nntaleb","x742144802"
"nntaleb","x1050866538243391489"
"nntaleb","x3939448275"
"nntaleb","x504853849"
"nntaleb","x5637562"
"nntaleb","x138304042"
"nntaleb","x1028320535585992710"
"nntaleb","x990317363915579392"
"nntaleb","x18208354"
"nntaleb","x2330587698"
"nntaleb","x4235669063"
"nntaleb","x1028082510213902336"
"nntaleb","x3043567396"
"nntaleb","x29275869"
"nntaleb","x326400624"
"nntaleb","x383951622"
"nntaleb","x95713333"
"nntaleb","x31464977"
"nntaleb","x204375655"
"nntaleb","x907984505109180421"
"nntaleb","x191332087"
"nntaleb","x732500920873803778"
"nntaleb","x1356030014"
"nntaleb","x2914009158"
"nntaleb","x979432495912435712"
"nntaleb","x3313401022"
"nntaleb","x19599446"
"nntaleb","x1023484557595758592"
"nntaleb","x736716258"
"nntaleb","x3227845866"
"nntaleb","x19899980"
"nntaleb","x898537582254010368"
"nntaleb","x120852788"
"nntaleb","x70542941"
"nntaleb","x2410183225"
"nntaleb","x21084314"
"nntaleb","x593041510"
"nntaleb","x389057292"
"nntaleb","x337808606"
"nntaleb","x1027635668267225088"
"nntaleb","x92236327"
"nntaleb","x177489243"
"nntaleb","x857354668128784385"
"nntaleb","x50311636"
"nntaleb","x131172458"
"nntaleb","x861798277"
"nntaleb","x2989481933"
"nntaleb","x1242788624"
"nntaleb","x39641051"
"nntaleb","x1016533762337902592"
"nntaleb","x84653539"
"nntaleb","x911188812"
"nntaleb","x2484257586"
"nntaleb","x1010656401268658176"
"nntaleb","x3188509272"
"nntaleb","x2364445033"
"nntaleb","x2153307457"
"nntaleb","x46721857"
"nntaleb","x2329066872"
"nntaleb","x2740108585"
"nntaleb","x472919004"
"nntaleb","x59585128"
"nntaleb","x2541397107"
"nntaleb","x2192124252"
"nntaleb","x1007276843970564097"
"nntaleb","x1550158765"
"nntaleb","x2937163971"
"nntaleb","x835259554715824129"
"nntaleb","x56575418"
"nntaleb","x967130909500694530"
"nntaleb","x152600792"
"nntaleb","x28351670"
"nntaleb","x1156820016"
"nntaleb","x350449029"
"nntaleb","x994962820872785922"
"nntaleb","x861337914109820933"
"nntaleb","x403299980"
"nntaleb","x946857363574837253"
"nntaleb","x75978805"
"nntaleb","x83814679"
"nntaleb","x996651659458744320"
"nntaleb","x813794033055203328"
"nntaleb","x2316224708"
"nntaleb","x965972058277588992"
"nntaleb","x27716419"
"nntaleb","x302769804"
"nntaleb","x2985466732"
"nntaleb","x908426033505931265"
"nntaleb","x2344061090"
"nntaleb","x464996769"
"nntaleb","x988391679299346432"
"nntaleb","x405605548"
"nntaleb","x2360025931"
"nntaleb","x1209362046"
"nntaleb","x16353245"
"nntaleb","x2313894266"
"nntaleb","x4235943227"
"nntaleb","x2832538341"
"nntaleb","x1694715510"
"nntaleb","x169686021"
"nntaleb","x878247600096509952"
"nntaleb","x521005618"
"nntaleb","x19178168"
"nntaleb","x73306557"
"nntaleb","x39873844"
"nntaleb","x14458643"
"nntaleb","x229638179"
"nntaleb","x7347012"
"nntaleb","x6531902"
"nntaleb","x739133515170729984"
"nntaleb","x213792079"
"nntaleb","x868696943630979072"
"nntaleb","x391534562"
"nntaleb","x1056052934"
"nntaleb","x4258847357"
"nntaleb","x953196782707671040"
"nntaleb","x265606441"
"nntaleb","x41059238"
"nntaleb","x41635583"
"nntaleb","x50095170"
"nntaleb","x44401911"
"nntaleb","x125786583"
"nntaleb","x974828242296328193"
"nntaleb","x331913203"
"nntaleb","x1238155219"
"nntaleb","x21437455"
"nntaleb","x20668369"
"nntaleb","x690823"
"nntaleb","x148303071"
"nntaleb","x2553151"
"nntaleb","x230513829"
"nntaleb","x783388623513288704"
"nntaleb","x279089718"
"nntaleb","x546844316"
"nntaleb","x849223975968309248"
"nntaleb","x242423151"
"nntaleb","x8496762"
"nntaleb","x136743065"
"nntaleb","x2875501614"
"nntaleb","x19952231"
"nntaleb","x886358633646350340"
"nntaleb","x346898657"
"nntaleb","x22413992"
"nntaleb","x885838630928994304"
"nntaleb","x858202708628586496"
"nntaleb","x249028405"
"nntaleb","x40200061"
"nntaleb","x144931441"
"nntaleb","x1138718150"
"nntaleb","x374085775"
"nntaleb","x490789920"
"nntaleb","x840094213"
"nntaleb","x22982074"
"nntaleb","x48605128"
"nntaleb","x632091340"
"nntaleb","x1318611924"
"nntaleb","x945684764996067328"
"nntaleb","x150518936"
"nntaleb","x1410885091"
"nntaleb","x37685331"
"nntaleb","x130557513"
"nntaleb","x412219206"
"nntaleb","x194505099"
"nntaleb","x850763376263299078"
"nntaleb","x809921195361652736"
"nntaleb","x940446146702512128"
"nntaleb","x717335588085567488"
"nntaleb","x348480883"
"nntaleb","x486857409"
"nntaleb","x26088207"
"nntaleb","x48949188"
"nntaleb","x4905990821"
"nntaleb","x910357333494157312"
"nntaleb","x736023117005520897"
"nntaleb","x2337394794"
"nntaleb","x274515797"
"nntaleb","x455660713"
"nntaleb","x19697978"
"nntaleb","x487069442"
"nntaleb","x791112163507044353"
"nntaleb","x166389845"
"nntaleb","x1623424387"
"nntaleb","x236019866"
"nntaleb","x391062323"
"nntaleb","x1155960950"
"nntaleb","x918502148874362880"
"nntaleb","x25058787"
"nntaleb","x746804022061973504"
"nntaleb","x830817082208030722"
"nntaleb","x755976362"
"nntaleb","x2850251396"
"nntaleb","x816677047275765764"
"nntaleb","x51429353"
"nntaleb","x18858920"
"nntaleb","x919245692350156802"
"nntaleb","x47734183"
"nntaleb","x794924857339351040"
"nntaleb","x765618069062422528"
"nntaleb","x4288322237"
"nntaleb","x315049936"
"nntaleb","x956067732"
"nntaleb","x4885277053"
"nntaleb","x237283212"
"nntaleb","x916058367310876672"
"nntaleb","x12"
"nntaleb","x90627994"
"nntaleb","x636607763"
"nntaleb","x22192145"
"nntaleb","x917052395674271745"
"nntaleb","x899742286094979072"
"nntaleb","x19370504"
"nntaleb","x786283647477374976"
"nntaleb","x895647439901917184"
"nntaleb","x1560875191"
"nntaleb","x2243010122"
"nntaleb","x722175966072741888"
"nntaleb","x254280603"
"nntaleb","x62603893"
"nntaleb","x28516356"
"nntaleb","x3407386769"
"nntaleb","x3075558600"
"nntaleb","x98705778"
"nntaleb","x732301433429692416"
"nntaleb","x1078510861"
"nntaleb","x15092020"
"nntaleb","x19782427"
"nntaleb","x274316654"
"nntaleb","x100561492"
"nntaleb","x2733012992"
"nntaleb","x3066008697"
"nntaleb","x29660537"
"nntaleb","x3232945291"
"nntaleb","x3097166903"
"nntaleb","x705699291474464768"
"nntaleb","x2741690319"
"nntaleb","x894748894789115907"
"nntaleb","x528702676"
"nntaleb","x322774978"
"nntaleb","x27288119"
"nntaleb","x452447266"
"nntaleb","x16997512"
"nntaleb","x49388140"
"nntaleb","x625357795"
"nntaleb","x28872567"
"nntaleb","x35205897"
"nntaleb","x3202241423"
"nntaleb","x276044235"
"nntaleb","x745273"
"nntaleb","x29292782"
"nntaleb","x57338175"
"nntaleb","x21941258"
"nntaleb","x22369916"
"nntaleb","x18266688"
"nntaleb","x823693635564802048"
"nntaleb","x956171191"
"nntaleb","x2870439255"
"nntaleb","x3898598357"
"nntaleb","x74519287"
"nntaleb","x392545729"
"nntaleb","x881285687554842624"
"nntaleb","x189603117"
"nntaleb","x1202326698"
"nntaleb","x954821"
"nntaleb","x2216017866"
"nntaleb","x41718060"
"nntaleb","x270665328"
"nntaleb","x39344374"
"nntaleb","x353040882"
"nntaleb","x822215673812119553"
"nntaleb","x2914154103"
"nntaleb","x100076513"
"nntaleb","x3900026412"
"nntaleb","x349143448"
"nntaleb","x450655068"
"nntaleb","x227277861"
"nntaleb","x15815757"
"nntaleb","x162014851"
"nntaleb","x47387039"
"nntaleb","x718468766556762112"
"nntaleb","x209693451"
"nntaleb","x3765572533"
"nntaleb","x421983899"
"nntaleb","x78683448"
"nntaleb","x1699649724"
"nntaleb","x372372537"
"nntaleb","x856266588869324802"
"nntaleb","x26591569"
"nntaleb","x142667375"
"nntaleb","x4893984209"
"nntaleb","x3279578767"
"nntaleb","x1016062530"
"nntaleb","x1583865109"
"nntaleb","x90911563"
"nntaleb","x172303801"
"nntaleb","x73141930"
"nntaleb","x860299547968364545"
"nntaleb","x49008477"
"nntaleb","x2291049618"
"nntaleb","x35328942"
"nntaleb","x35511525"
"nntaleb","x2254000758"
"nntaleb","x751644712570847236"
"nntaleb","x30050899"
"nntaleb","x1641971"
"nntaleb","x18643437"
"nntaleb","x3040732982"
"nntaleb","x2802469860"
"nntaleb","x42825230"
"nntaleb","x358545917"
"nntaleb","x31586578"
"nntaleb","x719827878632943620"
"nntaleb","x91882544"
"nntaleb","x3511430425"
"nntaleb","x15063486"
"nntaleb","x2894902813"
"nntaleb","x109080285"
"nntaleb","x782667979741814784"
"nntaleb","x1560735458"
"nntaleb","x1408003598"
"nntaleb","x131498466"
"nntaleb","x24127811"
"nntaleb","x246581527"
"nntaleb","x158715457"
"nntaleb","x793800710433411073"
"nntaleb","x1271025590"
"nntaleb","x17620594"
"nntaleb","x374775473"
"nntaleb","x396163676"
"nntaleb","x20591678"
"nntaleb","x287413569"
"nntaleb","x78702900"
"nntaleb","x87133189"
"nntaleb","x388983706"
"nntaleb","x765917090570264576"
"nntaleb","x826805076316520450"
"nntaleb","x2406909062"
"nntaleb","x50348086"
"nntaleb","x456777022"
"nntaleb","x22203756"
"nntaleb","x3003177407"
"nntaleb","x3372383674"
"nntaleb","x706885286425448448"
"nntaleb","x823518894182846464"
"nntaleb","x8287602"
"nntaleb","x790199025781780480"
"nntaleb","x4145713119"
"nntaleb","x3121668643"
"nntaleb","x755067524644007937"
"nntaleb","x2289628938"
"nntaleb","x618387795"
"nntaleb","x267512876"
"nntaleb","x255580293"
"nntaleb","x816544396460064768"
"nntaleb","x809823507005710336"
"nntaleb","x3293406121"
"nntaleb","x69891806"
"nntaleb","x93295809"
"nntaleb","x56143410"
"nntaleb","x752869395668631553"
"nntaleb","x37501003"
"nntaleb","x2347201362"
"nntaleb","x53789862"
"nntaleb","x240454812"
"nntaleb","x1358520301"
"nntaleb","x142375993"
"nntaleb","x728620747527180288"
"nntaleb","x4250871568"
"nntaleb","x1064206014"
"nntaleb","x26637348"
"nntaleb","x1398479138"
"nntaleb","x803294833502785536"
"nntaleb","x2986563122"
"nntaleb","x108155579"
"nntaleb","x48534642"
"nntaleb","x12044602"
"nntaleb","x20713061"
"nntaleb","x535780628"
"nntaleb","x722796029544804354"
"nntaleb","x68852114"
"nntaleb","x216881337"
"nntaleb","x1468548817"
"nntaleb","x246220733"
"nntaleb","x16076032"
"nntaleb","x30315797"
"nntaleb","x312696314"
"nntaleb","x245326375"
"nntaleb","x3449673255"
"nntaleb","x720963865660506113"
"nntaleb","x707951028390502400"
"nntaleb","x396365748"
"nntaleb","x270145774"
"nntaleb","x1571428436"
"nntaleb","x25233841"
"nntaleb","x87447080"
"nntaleb","x309970677"
"nntaleb","x14851043"
"nntaleb","x939400524"
"nntaleb","x2699340834"
"nntaleb","x334964197"
"nntaleb","x321014839"
"nntaleb","x734400094821351425"
"nntaleb","x22413973"
"nntaleb","x3186299889"
"nntaleb","x325801562"
"nntaleb","x1043264946"
"nntaleb","x36529101"
"nntaleb","x93577242"
"nntaleb","x44196397"
"nntaleb","x860158302"
"nntaleb","x4255025187"
"nntaleb","x2872159805"
"nntaleb","x111477305"
"nntaleb","x30182005"
"nntaleb","x354986307"
"nntaleb","x564502330"
"nntaleb","x56341402"
"nntaleb","x211464853"
"nntaleb","x44333533"
"nntaleb","x1645794463"
"nntaleb","x1043097751"
"nntaleb","x3615328161"
"nntaleb","x399935480"
"nntaleb","x19017675"
"nntaleb","x2319423475"
"nntaleb","x893557308"
"nntaleb","x4726696817"
"nntaleb","x20009450"
"nntaleb","x459483899"
"nntaleb","x738226739336249344"
"nntaleb","x716632448252162048"
"nntaleb","x164295826"
"nntaleb","x48847011"
"nntaleb","x16751948"
"nntaleb","x23425315"
"nntaleb","x300878435"
"nntaleb","x2345872214"
"nntaleb","x16077656"
"nntaleb","x2491805412"
"nntaleb","x205622130"
"nntaleb","x1428131534"
"nntaleb","x335511592"
"nntaleb","x2953623765"
"nntaleb","x477088244"
"nntaleb","x374774206"
"nntaleb","x11916882"
"nntaleb","x308397019"
"nntaleb","x80401411"
"nntaleb","x4858614499"
"nntaleb","x2756453270"
"nntaleb","x2614782846"
"nntaleb","x252669325"
"nntaleb","x47813521"
"nntaleb","x1231476866"
"nntaleb","x1151943619"
"nntaleb","x2327971734"
"nntaleb","x277778963"
"nntaleb","x346110041"
"nntaleb","x6752402"
"nntaleb","x4118045422"
"nntaleb","x36020255"
"nntaleb","x1733659231"
"nntaleb","x295061293"
"nntaleb","x4724385461"
"nntaleb","x19078522"
"nntaleb","x4847502181"
"nntaleb","x2457847976"
"nntaleb","x2512660215"
"nntaleb","x316327930"
"nntaleb","x42176166"
"nntaleb","x531697681"
"nntaleb","x41174817"
"nntaleb","x386652145"
"nntaleb","x16617389"
"nntaleb","x4767337782"
"nntaleb","x1175392975"
"nntaleb","x1397984006"
"nntaleb","x1343394810"
"nntaleb","x2292996744"
"nntaleb","x3440384062"
"nntaleb","x541656550"
"nntaleb","x1704444536"
"nntaleb","x106204123"
"nntaleb","x1420697072"
"nntaleb","x15520108"
"nntaleb","x1071901771"
"nntaleb","x3331279709"
"nntaleb","x15181803"
"nntaleb","x143907123"
"nntaleb","x27533327"
"nntaleb","x47359057"
"nntaleb","x61216500"
"nntaleb","x569446928"
"nntaleb","x114454289"
"nntaleb","x15023025"
"nntaleb","x19997064"
"nntaleb","x17135413"
"nntaleb","x18469669"
"nntaleb","x198925655"
"nntaleb","x25073877"
"nntaleb","x94119909"
"nntaleb","x633196916"
"nntaleb","x75098933"
"nntaleb","x24212723"
"nntaleb","x267053655"
"nntaleb","x296190671"
"nntaleb","x2792460264"
"nntaleb","x358894058"
"nntaleb","x21251300"
"nntaleb","x1194957349"
"nntaleb","x2753078230"
"nntaleb","x2434784281"
"nntaleb","x179571631"
"nntaleb","x39237910"
"nntaleb","x271060511"
"nntaleb","x599357202"
"nntaleb","x65646836"
"nntaleb","x554605568"
"nntaleb","x2664476712"
"nntaleb","x60741791"
"nntaleb","x788363167"
"nntaleb","x605419220"
"nntaleb","x2704857546"
"nntaleb","x1652340398"
"nntaleb","x20374262"
"nntaleb","x337708461"
"nntaleb","x14853904"
"nntaleb","x18824179"
"nntaleb","x10137502"
"nntaleb","x7015112"
"nntaleb","x8516062"
"nntaleb","x7294912"
"nntaleb","x2615683320"
"nntaleb","x34145908"
"nntaleb","x28007091"
"nntaleb","x461012113"
"nntaleb","x260532262"
"nntaleb","x373682248"
"nntaleb","x3437721179"
"nntaleb","x129494205"
"nntaleb","x806917118"
"nntaleb","x3020692281"
"nntaleb","x238096056"
"nntaleb","x49793"
"nntaleb","x14080479"
"nntaleb","x1562754602"
"nntaleb","x332617373"
"nntaleb","x3382826259"
"nntaleb","x458615118"
"nntaleb","x16589206"
"nntaleb","x279390084"
"nntaleb","x16623719"
"nntaleb","x719739980"
"nntaleb","x162890663"
"nntaleb","x2680729040"
"nntaleb","x456034260"
"nntaleb","x46519992"
"nntaleb","x17445739"
"nntaleb","x1393264154"
"nntaleb","x18091706"
"nntaleb","x16897082"
"nntaleb","x636629677"
"nntaleb","x149763"
"nntaleb","x373474887"
"nntaleb","x20713331"
"nntaleb","x79389301"
"nntaleb","x45534335"
"nntaleb","x60253126"
"nntaleb","x2238005029"
"nntaleb","x227343239"
"nntaleb","x8508342"
"nntaleb","x1576939662"
"nntaleb","x25788104"
"nntaleb","x419084104"
"nntaleb","x11612572"
"nntaleb","x153724396"
"nntaleb","x310590217"
"nntaleb","x77314692"
"nntaleb","x385291247"
"nntaleb","x9535352"
"nntaleb","x2809569186"
"nntaleb","x449588356"
"nntaleb","x3125523251"
"nntaleb","x1362368612"
"nntaleb","x52188980"
"nntaleb","x564686965"
"nntaleb","x153811467"
"nntaleb","x2175101088"
"nntaleb","x464110034"
"nntaleb","x360926693"
"nntaleb","x389095725"
"nntaleb","x3222294747"
"nntaleb","x6385432"
"nntaleb","x2227983151"
"nntaleb","x2587530942"
"nntaleb","x22088714"
"nntaleb","x125407078"
"nntaleb","x548534379"
"nntaleb","x18802895"
"nntaleb","x18290951"
"nntaleb","x7725"
"nntaleb","x49279876"
"nntaleb","x384267433"
"nntaleb","x123107239"
"nntaleb","x2853461537"
"nntaleb","x378081010"
"nntaleb","x320395175"
"nntaleb","x17820947"
"nntaleb","x1978562184"
"nntaleb","x152862026"
"nntaleb","x112242470"
"nntaleb","x235311196"
"nntaleb","x213021583"
"nntaleb","x14638433"
"nntaleb","x1601780563"
"nntaleb","x244746802"
"nntaleb","x465960256"
"nntaleb","x14416959"
"nntaleb","x598271129"
"nntaleb","x17853046"
"nntaleb","x11695892"
"nntaleb","x14230772"
"nntaleb","x7157292"
"nntaleb","x108642770"
"nntaleb","x994994552"
"nntaleb","x72796877"
"nntaleb","x24578794"
"nntaleb","x1707427058"
"nntaleb","x31290415"
"nntaleb","x6959952"
"nntaleb","x426044697"
"nntaleb","x109895940"
"nntaleb","x1697381930"
"nntaleb","x636182472"
"nntaleb","x169446350"
"nntaleb","x80811754"
"nntaleb","x19966557"
"nntaleb","x19066345"
"nntaleb","x19224439"
"nntaleb","x912583795"
"nntaleb","x25159286"
"nntaleb","x59541594"
"nntaleb","x381813372"
"nntaleb","x1148935274"
"nntaleb","x52381876"
"nntaleb","x7404632"
"nntaleb","x317076124"
"nntaleb","x323660049"
"nntaleb","x1099841593"
"nntaleb","x17472317"
"nntaleb","x18856867"
"nntaleb","x17755495"
"nntaleb","x29628889"
"nntaleb","x30165368"
"nntaleb","x481439251"
"nntaleb","x311706575"
"nntaleb","x2881239162"
"nntaleb","x239026022"
"nntaleb","x66401056"
"nntaleb","x262762478"
"nntaleb","x300395156"
"nntaleb","x980827975"
"nntaleb","x259771124"
"nntaleb","x600244924"
"nntaleb","x2758322340"
"nntaleb","x25110158"
"nntaleb","x2566142814"
"nntaleb","x27966935"
"nntaleb","x1152279248"
"nntaleb","x17537147"
"nntaleb","x17522755"
"nntaleb","x7177512"
"nntaleb","x83884816"
"nntaleb","x482201580"
"nntaleb","x271033788"
"nntaleb","x930223009"
"nntaleb","x2245422732"
"nntaleb","x239420353"
"nntaleb","x11338962"
"nntaleb","x458966079"
"nntaleb","x1404590618"
"nntaleb","x50340806"
"nntaleb","x107210124"
"nntaleb","x536540206"
"nntaleb","x42501345"
"nntaleb","x1062448933"
"nntaleb","x55820682"
"nntaleb","x25248934"
"nntaleb","x2746143246"
"nntaleb","x337346349"
"nntaleb","x116768508"
"nntaleb","x23498691"
"nntaleb","x18028509"
"nntaleb","x3745781"
"nntaleb","x30502657"
"nntaleb","x3764301"
"nntaleb","x28618036"
"nntaleb","x270470351"
"nntaleb","x1931711646"
"nntaleb","x54743845"
"nntaleb","x965771882"
"nntaleb","x965764482"
"nntaleb","x454065821"
"nntaleb","x20871581"
"nntaleb","x305073570"
"nntaleb","x26509396"
"nntaleb","x496790576"
"nntaleb","x594069867"
"nntaleb","x413803642"
"nntaleb","x42226885"
"nntaleb","x142740272"
"nntaleb","x22555984"
"nntaleb","x468249929"
"nntaleb","x965780071"
"nntaleb","x581374657"
"nntaleb","x928219752"
"nntaleb","x930040429"
"nntaleb","x1632913393"
"nntaleb","x1007859415"
"nntaleb","x117366399"
"nntaleb","x1797991"
"nntaleb","x16242081"
"nntaleb","x459230309"
"nntaleb","x11740902"
"nntaleb","x588627550"
"nntaleb","x990009265"
"nntaleb","x35810531"
"nntaleb","x965762910"
"nntaleb","x76956597"
"nntaleb","x17300090"
"nntaleb","x214653213"
"nntaleb","x83470331"
"nntaleb","x1188096200"
"nntaleb","x794010396"
"nntaleb","x15066212"
"nntaleb","x2529971"
"nntaleb","x137480257"
"nntaleb","x316686040"
"nntaleb","x447532101"
"nntaleb","x43105334"
"nntaleb","x488387509"
"nntaleb","x28381563"
"nntaleb","x236305508"
"nntaleb","x211106542"
"nntaleb","x112290748"
"nntaleb","x14872127"
"nntaleb","x43337452"
"nntaleb","x116579971"
"nntaleb","x34872454"
"nntaleb","x329814808"
"nntaleb","x864893930"
"nntaleb","x2149270218"
"nntaleb","x1231197091"
"nntaleb","x61555249"
"nntaleb","x237087413"
"nntaleb","x217668428"
"nntaleb","x1776295867"
"nntaleb","x147548092"
"nntaleb","x162686169"
"nntaleb","x37677496"
"nntaleb","x494708575"
"nntaleb","x14547923"
"nntaleb","x206071884"
"nntaleb","x344151113"
"nntaleb","x239885144"
"nntaleb","x20905953"
"nntaleb","x39933"
"nntaleb","x88015264"
"nntaleb","x579299426"
"nntaleb","x31292265"
"nntaleb","x109958944"
"nntaleb","x220139885"
"nntaleb","x93494670"
"nntaleb","x33152005"
"nntaleb","x109958517"
"nntaleb","x760303"
"nntaleb","x66687817"
"nntaleb","x87170277"
"nntaleb","x403761570"
"nntaleb","x50024098"
"nntaleb","x1397154373"
"nntaleb","x21271771"
"nntaleb","x289485255"
"nntaleb","x523547193"
"nntaleb","x22659609"
"nntaleb","x22012341"
"nntaleb","x229910053"
"nntaleb","x252608121"
"nntaleb","x175423518"
